solucio	iteracions	stiter	k	lambda
30	2000	100	1	1
45	2000	100	1	0.1
32	2000	100	1	0.01
25	2000	100	1	0.001
30	2000	100	1	0.0001
28	2000	100	5	1
24	2000	100	5	0.1
30	2000	100	5	0.01
36	2000	100	5	0.001
21	2000	100	5	0.0001
20	2000	100	25	1
24	2000	100	25	0.1
42	2000	100	25	0.01
31	2000	100	25	0.001
35	2000	100	25	0.0001
30	2000	100	125	1
36	2000	100	125	0.1
36	2000	100	125	0.01
48	2000	100	125	0.001
21	2000	100	125	0.0001
28	2000	200	1	1
33	2000	200	1	0.1
36	2000	200	1	0.01
28	2000	200	1	0.001
30	2000	200	1	0.0001
24	2000	200	5	1
34	2000	200	5	0.1
18	2000	200	5	0.01
18	2000	200	5	0.001
28	2000	200	5	0.0001
21	2000	200	25	1
24	2000	200	25	0.1
19	2000	200	25	0.01
40	2000	200	25	0.001
23	2000	200	25	0.0001
29	2000	200	125	1
45	2000	200	125	0.1
32	2000	200	125	0.01
25	2000	200	125	0.001
26	2000	200	125	0.0001
34	2000	300	1	1
33	2000	300	1	0.1
40	2000	300	1	0.01
32	2000	300	1	0.001
31	2000	300	1	0.0001
31	2000	300	5	1
34	2000	300	5	0.1
38	2000	300	5	0.01
36	2000	300	5	0.001
16	2000	300	5	0.0001
14	2000	300	25	1
27	2000	300	25	0.1
33	2000	300	25	0.01
34	2000	300	25	0.001
26	2000	300	25	0.0001
38	2000	300	125	1
26	2000	300	125	0.1
33	2000	300	125	0.01
29	2000	300	125	0.001
30	2000	300	125	0.0001
26	2000	400	1	1
33	2000	400	1	0.1
32	2000	400	1	0.01
29	2000	400	1	0.001
35	2000	400	1	0.0001
17	2000	400	5	1
37	2000	400	5	0.1
45	2000	400	5	0.01
34	2000	400	5	0.001
29	2000	400	5	0.0001
22	2000	400	25	1
23	2000	400	25	0.1
30	2000	400	25	0.01
40	2000	400	25	0.001
43	2000	400	25	0.0001
33	2000	400	125	1
31	2000	400	125	0.1
40	2000	400	125	0.01
38	2000	400	125	0.001
27	2000	400	125	0.0001
18	2000	500	1	1
30	2000	500	1	0.1
35	2000	500	1	0.01
28	2000	500	1	0.001
41	2000	500	1	0.0001
44	2000	500	5	1
33	2000	500	5	0.1
23	2000	500	5	0.01
36	2000	500	5	0.001
27	2000	500	5	0.0001
36	2000	500	25	1
29	2000	500	25	0.1
40	2000	500	25	0.01
44	2000	500	25	0.001
49	2000	500	25	0.0001
36	2000	500	125	1
24	2000	500	125	0.1
35	2000	500	125	0.01
31	2000	500	125	0.001
21	2000	500	125	0.0001
15	4000	100	1	1
26	4000	100	1	0.1
37	4000	100	1	0.01
29	4000	100	1	0.001
29	4000	100	1	0.0001
24	4000	100	5	1
26	4000	100	5	0.1
34	4000	100	5	0.01
33	4000	100	5	0.001
